//Item key;item id;item meta;label (indicative only)
//This file is auto-generated and indicative only. Don't edit it.

akwardpotion;minecraft:potion;16;粗制的 药水
alchemistamulet;millenaire:item.ml_dwarves_amulet;0;item.ml_dwarves_amulet.name
alchimistexplosive;millenaire:tile.ml_stone_deco;3;tile.ml_stone_deco.3.name
arrow;minecraft:arrow;0;箭
beefcooked;minecraft:cooked_beef;0;牛排
beefraw;minecraft:beef;0;生牛肉
bone;minecraft:bone;0;骨头
book;minecraft:book;0;书
bookandquill;minecraft:writable_book;0;书与笔
bookshelves;minecraft:bookshelf;0;书架
bottle;minecraft:glass_bottle;0;玻璃瓶
boudin;millenaire:item.ml_boudin;0;item.ml_boudin.name
bow;minecraft:bow;0;弓
bowlempty;minecraft:bowl;0;碗
bowlsoup;minecraft:mushroom_stew;0;蘑菇煲
bread;minecraft:bread;0;面包
brickmould;millenaire:item.ml_brickmould;0;item.ml_brickmould.name
bricks;minecraft:brick_block;0;砖块
bucketempty;minecraft:bucket;0;桶
bucketlava;minecraft:lava_bucket;0;岩浆桶
bucketmilk;minecraft:milk_bucket;0;牛奶
bucketwater;minecraft:water_bucket;0;水桶
byzantineboots;millenaire:item.ml_byzantineBoots;0;item.ml_byzantineBoots.name
byzantinehelmet;millenaire:item.ml_byzantineHelmet;0;item.ml_byzantineHelmet.name
byzantineiconlarge;millenaire:item.ml_byzantineiconlarge;0;item.ml_byzantineiconlarge.name
byzantineiconmedium;millenaire:item.ml_byzantineiconmedium;0;item.ml_byzantineiconmedium.name
byzantineiconsmall;millenaire:item.ml_byzantineicon;0;item.ml_byzantineicon.name
byzantinelegs;millenaire:item.ml_byzantineLegs;0;item.ml_byzantineLegs.name
byzantinemace;millenaire:item.ml_byzantineMace;0;item.ml_byzantineMace.name
byzantineplate;millenaire:item.ml_byzantinePlate;0;item.ml_byzantinePlate.name
byzantinestonetiles;millenaire:tile.byzantine_mixedbrick;0;tile.byzantine_mixedbrick.name
byzantinetiles;millenaire:tile.byzantine_brick;0;tile.byzantine_brick.name
byzantinetileslab;millenaire:tile.byzantine_brick_slab;0;tile.byzantine_brick_slab.name
cacauhaa;millenaire:item.ml_cacauhaa;0;item.ml_cacauhaa.name
cactus;minecraft:cactus;0;仙人掌
cake;minecraft:cake;0;蛋糕
calva;millenaire:item.ml_calva;0;item.ml_calva.name
carrot;minecraft:carrot;0;胡萝卜
chainboots;minecraft:chainmail_boots;0;锁链靴子
chainchest;minecraft:chainmail_chestplate;0;锁链胸甲
chainhelmet;minecraft:chainmail_helmet;0;锁链头盔
chainlegs;minecraft:chainmail_leggings;0;锁链护腿
chickencurry;millenaire:item.ml_chickencurry;0;item.ml_chickencurry.name
chickenmeat;minecraft:chicken;0;生鸡肉
chickenmeatcooked;minecraft:cooked_chicken;0;熟鸡肉
cider;millenaire:item.ml_cider;0;item.ml_cider.name
ciderapple;millenaire:item.ml_ciderapple;0;item.ml_ciderapple.name
clay;minecraft:clay_ball;0;粘土
clock;minecraft:clock;0;钟
clothes_byz_silk;millenaire:item.ml_clothes;1;item.clothes_byz_silk.name
clothes_byz_wool;millenaire:item.ml_clothes;0;item.clothes_byz_wool.name
coal;minecraft:coal;0;煤炭
cobblestone;minecraft:cobblestone;0;圆石
compass;minecraft:compass;0;指南针
cookedbrick;millenaire:tile.ml_stone_deco;0;tile.ml_stone_deco.0.name
cookie;minecraft:cookie;0;曲奇
denier;millenaire:item.ml_denier;0;item.ml_denier.name
denierargent;millenaire:item.ml_denier_argent;0;item.ml_denier_argent.name
denieror;millenaire:item.ml_denier_or;0;item.ml_denier_or.name
diamond;minecraft:diamond;0;钻石
diamondaxe;minecraft:diamond_axe;0;钻石斧
diamondboots;minecraft:diamond_boots;0;钻石靴子
diamondchest;minecraft:diamond_chestplate;0;钻石胸甲
diamondhelmet;minecraft:diamond_helmet;0;钻石头盔
diamondhoe;minecraft:diamond_hoe;0;钻石锄
diamondlegs;minecraft:diamond_leggings;0;钻石护腿
diamondpickaxe;minecraft:diamond_pickaxe;0;钻石镐
diamondshovel;minecraft:diamond_shovel;0;钻石锹
diamondsword;minecraft:diamond_sword;0;钻石剑
dirt;minecraft:dirt;0;泥土
dirtwall;millenaire:tile.ml_earth_deco;1;tile.ml_earth_deco.1.name
dye_black;minecraft:dye;0;墨囊
dye_blue;minecraft:dye;4;青金石
dye_brown;minecraft:dye;3;可可豆
dye_cyan;minecraft:dye;6;青色染料
dye_gray;minecraft:dye;8;灰色染料
dye_green;minecraft:dye;2;仙人掌绿
dye_lightblue;minecraft:dye;12;淡蓝色染料
